,0
N1,9.370611447069379
N5,24.023645509033877
N10,28.970100762922883
N7,27.256188708813276
N2,24.870362271447085
N6,26.617939706099897
N3,27.08502834043528
N8,25.159245769449438
N13,30.595308540140206
N9,24.37227327005307
N14,25.061021017597767
N4,29.000315826623577
N11,27.842037859763217
N12,24.588272234203984
N15,28.966055185979123
N16,27.253194054026473
Reservior,0.0
