GENERATION,FITNESS
13.0,268.6040155211236
12.0,268.6040155211236
38.0,2020.1748469957397
10.0,268.6040155211236
9.0,268.6040155211236
8.0,268.6040155211236
11.0,268.6040155211236
39.0,2020.1748469957397
15.0,268.6040155211236
29.0,2020.1748469957397
28.0,2020.1748469957397
14.0,268.6040155211236
16.0,268.6040155211236
17.0,268.6040155211236
58.0,2020.1748469957397
64.0,2020.1748469957397
70.0,2020.1748469957397
71.0,2020.1748469957397
65.0,2020.1748469957397
59.0,2020.1748469957397
73.0,2020.1748469957397
67.0,2020.1748469957397
98.0,5339.744539807114
99.0,5339.744539807114
66.0,2020.1748469957397
72.0,2020.1748469957397
76.0,2020.1748469957397
62.0,2020.1748469957397
89.0,5339.744539807114
88.0,5339.744539807114
63.0,2020.1748469957397
77.0,2020.1748469957397
61.0,2020.1748469957397
75.0,2020.1748469957397
49.0,2020.1748469957397
48.0,2020.1748469957397
74.0,2020.1748469957397
60.0,2020.1748469957397
79.0,2020.1748469957397
45.0,2020.1748469957397
51.0,2020.1748469957397
86.0,5339.744539807114
92.0,5339.744539807114
93.0,5339.744539807114
87.0,5339.744539807114
50.0,2020.1748469957397
44.0,2020.1748469957397
78.0,2020.1748469957397
52.0,2020.1748469957397
46.0,2020.1748469957397
91.0,5339.744539807114
85.0,2020.1748469957397
84.0,2020.1748469957397
90.0,5339.744539807114
47.0,2020.1748469957397
53.0,2020.1748469957397
57.0,2020.1748469957397
43.0,2020.1748469957397
94.0,5339.744539807114
80.0,2020.1748469957397
81.0,2020.1748469957397
95.0,5339.744539807114
42.0,2020.1748469957397
56.0,2020.1748469957397
40.0,2020.1748469957397
54.0,2020.1748469957397
68.0,2020.1748469957397
83.0,2020.1748469957397
97.0,5339.744539807114
100.0,5339.744539807114
96.0,5339.744539807114
82.0,2020.1748469957397
69.0,2020.1748469957397
55.0,2020.1748469957397
41.0,2020.1748469957397
26.0,268.94734138280535
32.0,2020.1748469957397
3.0,268.6040155211236
2.0,268.6040155211236
33.0,2020.1748469957397
27.0,2020.1748469957397
19.0,268.6040155211236
31.0,2020.1748469957397
25.0,268.94734138280535
1.0,268.6040155211236
24.0,268.6040155211236
30.0,2020.1748469957397
18.0,268.6040155211236
34.0,2020.1748469957397
20.0,268.6040155211236
5.0,268.6040155211236
4.0,268.6040155211236
21.0,268.6040155211236
35.0,2020.1748469957397
23.0,268.6040155211236
37.0,2020.1748469957397
6.0,268.6040155211236
7.0,268.6040155211236
36.0,2020.1748469957397
22.0,268.6040155211236
