GENERATION,FITNESS
13.0,676.253667819408
12.0,676.253667819408
38.0,3191.419473062422
10.0,676.253667819408
9.0,676.253667819408
8.0,676.253667819408
11.0,676.253667819408
39.0,3191.419473062422
15.0,676.253667819408
29.0,1106.39813676981
28.0,1106.39813676981
14.0,676.253667819408
16.0,676.253667819408
17.0,676.253667819408
58.0,9436.812773589429
64.0,9436.812773589429
70.0,9436.812773589429
71.0,9436.812773589429
65.0,9436.812773589429
59.0,9436.812773589429
73.0,9436.812773589429
67.0,9436.812773589429
98.0,9436.812773589429
99.0,9436.812773589429
66.0,9436.812773589429
72.0,9436.812773589429
76.0,9436.812773589429
62.0,9436.812773589429
89.0,9436.812773589429
88.0,9436.812773589429
63.0,9436.812773589429
77.0,9436.812773589429
61.0,9436.812773589429
75.0,9436.812773589429
49.0,3588.310733409187
48.0,3588.310733409187
74.0,9436.812773589429
60.0,9436.812773589429
79.0,9436.812773589429
45.0,3191.419473062422
51.0,3588.310733409187
86.0,9436.812773589429
92.0,9436.812773589429
93.0,9436.812773589429
87.0,9436.812773589429
50.0,3588.310733409187
44.0,3191.419473062422
78.0,9436.812773589429
52.0,3588.310733409187
46.0,3191.419473062422
91.0,9436.812773589429
85.0,9436.812773589429
84.0,9436.812773589429
90.0,9436.812773589429
47.0,3588.310733454932
53.0,3588.310733409187
57.0,9436.812773589429
43.0,3191.419473062422
94.0,9436.812773589429
80.0,9436.812773589429
81.0,9436.812773589429
95.0,9436.812773589429
42.0,3191.419473062422
56.0,9436.812773589429
40.0,3191.419473062422
54.0,9436.812773905807
68.0,9436.812773589429
83.0,9436.812773589429
97.0,9436.812773589429
100.0,9436.812773589429
96.0,9436.812773589429
82.0,9436.812773589429
69.0,9436.812773589429
55.0,9436.812773589429
41.0,3191.419473062422
26.0,676.253667819408
32.0,1106.39813676981
3.0,552.645644589027
2.0,533.5146089140011
33.0,1106.39813676981
27.0,1106.39813676981
19.0,676.253667819408
31.0,1106.39813676981
25.0,676.253667819408
1.0,533.5146089140011
24.0,676.253667819408
30.0,1106.39813676981
18.0,676.253667819408
34.0,3191.419473098608
20.0,676.253667819408
5.0,676.253667819408
4.0,552.6456445901122
21.0,676.253667819408
35.0,3191.419473062422
23.0,676.253667819408
37.0,3191.419473062422
6.0,676.253667819408
7.0,676.253667819408
36.0,3191.419473062422
22.0,676.253667819408
