GENERATION,FITNESS
13.0,9058.575338796842
12.0,9058.575338796842
38.0,41506.090188735936
10.0,6456.08350830464
9.0,6456.08350830464
8.0,6456.08350830464
11.0,6456.08350830464
39.0,41506.090188735936
15.0,9058.575338796842
29.0,11371.759411160618
28.0,11371.759411160618
14.0,9058.575338796842
16.0,9058.575338796842
17.0,9058.575338796842
58.0,41506.090188735936
64.0,41506.090188735936
70.0,41506.090188735936
71.0,41506.090188735936
65.0,41506.090188735936
59.0,41506.090188735936
73.0,41506.090188735936
67.0,41506.090188735936
98.0,41506.090188735936
99.0,41506.090188735936
66.0,41506.090188735936
72.0,41506.090188735936
76.0,41506.090188735936
62.0,41506.090188735936
89.0,41506.090188735936
88.0,41506.090188735936
63.0,41506.090188735936
77.0,41506.090188735936
61.0,41506.090188735936
75.0,41506.090188735936
49.0,41506.090188735936
48.0,41506.090188735936
74.0,41506.090188735936
60.0,41506.090188735936
79.0,41506.090188735936
45.0,41506.090188735936
51.0,41506.090188735936
86.0,41506.090188735936
92.0,41506.090188735936
93.0,41506.090188735936
87.0,41506.090188735936
50.0,41506.090188735936
44.0,41506.090188735936
78.0,41506.090188735936
52.0,41506.090188735936
46.0,41506.090188735936
91.0,41506.090188735936
85.0,41506.090188735936
84.0,41506.090188735936
90.0,41506.090188735936
47.0,41506.090188735936
53.0,41506.090188735936
57.0,41506.090188735936
43.0,41506.090188735936
94.0,41506.090188735936
80.0,41506.090188735936
81.0,41506.090188735936
95.0,41506.090188735936
42.0,41506.090188735936
56.0,41506.090188735936
40.0,41506.090188735936
54.0,41506.090188735936
68.0,41506.090188735936
83.0,41506.090188735936
97.0,41506.090188735936
100.0,41506.090188735936
96.0,41506.090188735936
82.0,41506.090188735936
69.0,41506.090188735936
55.0,41506.090188735936
41.0,41506.090188735936
26.0,11371.759411160618
32.0,22842.81592042586
3.0,737.9765999590308
2.0,737.9765999590308
33.0,22842.81592042586
27.0,11371.759411160618
19.0,9058.575338796842
31.0,22842.81592042586
25.0,9058.575338796842
1.0,737.9765999590308
24.0,9058.575338796842
30.0,22842.81592042586
18.0,9058.575338796842
34.0,41506.090188735936
20.0,9058.575338796842
5.0,4786.242706198516
4.0,4786.242706198516
21.0,9058.575338796842
35.0,41506.090188735936
23.0,9058.575338796842
37.0,41506.090188735936
6.0,4786.242706198516
7.0,6456.08350830464
36.0,41506.090188735936
22.0,9058.575338796842
