GENERATION,FITNESS
13.0,14272.577400428578
12.0,14272.577400428578
38.0,85372.12622991961
10.0,14272.577400428578
9.0,14272.577400428578
8.0,14272.577400428578
11.0,14272.577400428578
39.0,85372.12622991961
15.0,14272.577400428578
29.0,20716.782749736485
28.0,20716.782749736485
14.0,14272.577400428578
16.0,14272.577400428578
17.0,14272.577400428578
58.0,85372.12622991961
64.0,85372.12622991961
70.0,85372.12622991961
71.0,85372.12622991961
65.0,85372.12622991961
59.0,85372.12622991961
73.0,85372.12622991961
67.0,85372.12622991961
98.0,85372.12622991961
99.0,85372.12622991961
66.0,85372.12622991961
72.0,85372.12622991961
76.0,85372.12622991961
62.0,85372.12622991961
89.0,85372.12622991961
88.0,85372.12622991961
63.0,85372.12622991961
77.0,85372.12622991961
61.0,85372.12622991961
75.0,85372.12622991961
49.0,85372.12622991961
48.0,85372.12622991961
74.0,85372.12622991961
60.0,85372.12622991961
79.0,85372.12622991961
45.0,85372.12622991961
51.0,85372.12622991961
86.0,85372.12622991961
92.0,85372.12622991961
93.0,85372.12622991961
87.0,85372.12622991961
50.0,85372.12622991961
44.0,85372.12622991961
78.0,85372.12622991961
52.0,85372.12622991961
46.0,85372.12622991961
91.0,85372.12622991961
85.0,85372.12622991961
84.0,85372.12622991961
90.0,85372.12622991961
47.0,85372.12622991961
53.0,85372.12622991961
57.0,85372.12622991961
43.0,85372.12622991961
94.0,85372.12622991961
80.0,85372.12622991961
81.0,85372.12622991961
95.0,85372.12622991961
42.0,85372.12622991961
56.0,85372.12622991961
40.0,85372.12622991961
54.0,85372.12622991961
68.0,85372.12622991961
83.0,85372.12622991961
97.0,85372.12622991961
100.0,85372.12622991961
96.0,85372.12622991961
82.0,85372.12622991961
69.0,85372.12622991961
55.0,85372.12622991961
41.0,85372.12622991961
26.0,20716.782749736485
32.0,20716.782749736485
3.0,14272.577400428578
2.0,14272.577400428578
33.0,20716.782749736485
27.0,20716.782749736485
19.0,20716.782749736485
31.0,20716.782749736485
25.0,20716.782749736485
1.0,2115.495992216795
24.0,20716.782749736485
30.0,20716.782749736485
18.0,14272.577400428578
34.0,20716.782749736485
20.0,20716.782749736485
5.0,14272.577400428578
4.0,14272.577400428578
21.0,20716.782749736485
35.0,20716.782749736485
23.0,20716.782749736485
37.0,85372.12622991961
6.0,14272.577400428578
7.0,14272.577400428578
36.0,85372.12622991961
22.0,20716.782749736485
