GENERATION,FITNESS
13.0,5741.855094443456
12.0,5741.855094443456
38.0,93532.21816426962
10.0,5741.855094443456
9.0,5741.855094443456
8.0,5741.855094443456
11.0,5741.855094443456
39.0,93532.21816426962
15.0,5741.855094443456
29.0,5741.855094443456
28.0,5741.855094443456
14.0,5741.855094443456
16.0,5741.855094443456
17.0,5741.855094443456
58.0,93532.21816426962
64.0,93532.21816426962
70.0,93532.21816426962
71.0,93532.21816426962
65.0,93532.21816426962
59.0,93532.21816426962
73.0,93532.21816426962
67.0,93532.21816426962
98.0,93532.21816426962
99.0,93532.21816426962
66.0,93532.21816426962
72.0,93532.21816426962
76.0,93532.21816426962
62.0,93532.21816426962
89.0,93532.21816426962
88.0,93532.21816426962
63.0,93532.21816426962
77.0,93532.21816426962
61.0,93532.21816426962
75.0,93532.21816426962
49.0,93532.21816426962
48.0,93532.21816426962
74.0,93532.21816426962
60.0,93532.21816426962
79.0,93532.21816426962
45.0,93532.21816426962
51.0,93532.21816426962
86.0,93532.21816426962
92.0,93532.21816426962
93.0,93532.21816426962
87.0,93532.21816426962
50.0,93532.21816426962
44.0,93532.21816426962
78.0,93532.21816426962
52.0,93532.21816426962
46.0,93532.21816426962
91.0,93532.21816426962
85.0,93532.21816426962
84.0,93532.21816426962
90.0,93532.21816426962
47.0,93532.21816426962
53.0,93532.21816426962
57.0,93532.21816426962
43.0,93532.21816426962
94.0,93532.21816426962
80.0,93532.21816426962
81.0,93532.21816426962
95.0,93532.21816426962
42.0,93532.21816426962
56.0,93532.21816426962
40.0,93532.21816426962
54.0,93532.21816426962
68.0,93532.21816426962
83.0,93532.21816426962
97.0,93532.21816426962
100.0,93532.21816426962
96.0,93532.21816426962
82.0,93532.21816426962
69.0,93532.21816426962
55.0,93532.21816426962
41.0,93532.21816426962
26.0,5741.855094443456
32.0,5741.855094443456
3.0,5741.855094443456
2.0,5741.855094443456
33.0,5741.855094443456
27.0,5741.855094443456
19.0,5741.855094443456
31.0,5741.855094443456
25.0,5741.855094443456
1.0,279.37073460349825
24.0,5741.855094443456
30.0,5741.855094443456
18.0,5741.855094443456
34.0,5741.855094443456
20.0,5741.855094443456
5.0,5741.855094443456
4.0,5741.855094443456
21.0,5741.855094443456
35.0,5741.855094443456
23.0,5741.855094443456
37.0,5741.855094443456
6.0,5741.855094443456
7.0,5741.855094443456
36.0,5741.855094443456
22.0,5741.855094443456
