GENERATION,FITNESS,NODE
74,4157.743534056159,N4
60,4157.743534056159,N4
48,4157.743534056159,N4
49,4157.743534056159,N4
61,4157.743534056159,N4
75,4157.743534056159,N4
88,4157.743534056159,N4
63,4157.743534056159,N4
77,4157.743534056159,N4
76,4157.743534056159,N4
62,4157.743534056159,N4
89,4157.743534056159,N4
99,4157.743534056159,N4
66,4157.743534056159,N4
72,4157.743534056159,N4
73,4157.743534056159,N4
67,4157.743534056159,N4
98,4157.743534056159,N4
59,4157.743534056159,N4
71,4157.743534056159,N4
65,4157.743534056159,N4
64,4157.743534056159,N4
70,4157.743534056159,N4
58,4157.743534056159,N4
17,4157.743534056159,N4
2,131.98791403843745,N4
3,131.98791403843745,N4
16,4157.743534056159,N4
14,4157.743534056159,N4
28,4157.743534056159,N4
1,131.98791403843745,N4
29,4157.743534056159,N4
15,4157.743534056159,N4
39,4157.743534056159,N4
11,334.9607083940798,N4
4,131.98791403843745,N4
5,131.98791403843745,N4
10,334.9607083940798,N4
38,4157.743534056159,N4
100,4157.743534056159,N4
12,334.9607083940798,N4
7,131.98791403843745,N4
6,131.98791403843745,N4
13,4157.74353417899,N4
36,4157.743534056159,N4
22,4157.743534056159,N4
23,4157.743534056159,N4
37,4157.743534056159,N4
21,4157.743534056159,N4
35,4157.743534056159,N4
8,131.98791403843745,N4
9,334.9607083932826,N4
34,4157.743534056159,N4
20,4157.743534056159,N4
18,4157.743534056159,N4
24,4157.743534056159,N4
30,4157.743534056159,N4
31,4157.743534056159,N4
25,4157.743534056159,N4
19,4157.743534056159,N4
33,4157.743534056159,N4
27,4157.743534056159,N4
26,4157.743534056159,N4
32,4157.743534056159,N4
96,4157.743534056159,N4
82,4157.743534056159,N4
55,4157.743534056159,N4
41,4157.743534056159,N4
69,4157.743534056159,N4
68,4157.743534056159,N4
40,4157.743534056159,N4
54,4157.743534056159,N4
83,4157.743534056159,N4
97,4157.743534056159,N4
81,4157.743534056159,N4
95,4157.743534056159,N4
42,4157.743534056159,N4
56,4157.743534056159,N4
57,4157.743534056159,N4
43,4157.743534056159,N4
94,4157.743534056159,N4
80,4157.743534056159,N4
84,4157.743534056159,N4
90,4157.743534056159,N4
47,4157.743534056159,N4
53,4157.743534056159,N4
52,4157.743534056159,N4
46,4157.743534056159,N4
91,4157.743534056159,N4
85,4157.743534056159,N4
93,4157.743534056159,N4
87,4157.743534056159,N4
78,4157.743534056159,N4
50,4157.743534056159,N4
44,4157.743534056159,N4
45,4157.743534056159,N4
51,4157.743534056159,N4
79,4157.743534056159,N4
86,4157.743534056159,N4
92,4157.743534056159,N4
