GENERATION,FITNESS,NODE
36,4315.3488606142455,N10
22,4315.3488606142455,N10
23,4315.3488606142455,N10
37,4315.3488606142455,N10
21,4315.3488606142455,N10
35,4315.3488606142455,N10
34,4315.3488606142455,N10
20,4315.3488606142455,N10
18,4315.3488606142455,N10
8,899.1752348566622,N10
24,4315.3488606142455,N10
30,4315.3488606142455,N10
31,4315.3488606142455,N10
25,4315.3488606142455,N10
9,899.1752348566622,N10
19,4315.3488606142455,N10
33,4315.3488606142455,N10
27,4315.3488606142455,N10
26,4315.3488606142455,N10
32,4315.3488606142455,N10
96,117484.47381336034,N10
82,117484.47381336034,N10
55,11608.771264572051,N10
41,4315.3488606142455,N10
69,117484.47381336034,N10
68,117484.47381336034,N10
40,4315.3488606142455,N10
54,11608.771264572051,N10
83,117484.47381336034,N10
97,117484.47381336034,N10
81,117484.47381336034,N10
95,117484.47381336034,N10
42,4315.3488606142455,N10
56,11608.771264572051,N10
57,11608.771264572051,N10
43,4315.3488606142455,N10
94,117484.47381336034,N10
80,117484.47381336034,N10
84,117484.47381336034,N10
90,117484.47381336034,N10
47,11608.771264572051,N10
53,11608.771264572051,N10
52,11608.771264572051,N10
46,11608.771264572051,N10
91,117484.47381336034,N10
85,117484.47381336034,N10
93,117484.47381336034,N10
87,117484.47381336034,N10
78,117484.47381336034,N10
50,11608.771264572051,N10
44,4315.3488606142455,N10
45,11608.771264572051,N10
51,11608.771264572051,N10
79,117484.47381336034,N10
86,117484.47381336034,N10
92,117484.47381336034,N10
74,117484.47381336034,N10
60,11608.771264572051,N10
48,11608.771264572051,N10
49,11608.771264572051,N10
61,11608.771264572051,N10
75,117484.47381336034,N10
88,117484.47381336034,N10
63,11608.771264572051,N10
77,117484.47381336034,N10
76,117484.47381336034,N10
62,11608.771264572051,N10
89,117484.47381336034,N10
99,117484.47381336034,N10
66,117484.47381336034,N10
72,117484.47381336034,N10
100,117484.47381336034,N10
73,117484.47381336034,N10
67,117484.47381336034,N10
98,117484.47381336034,N10
59,11608.771264572051,N10
71,117484.47381336034,N10
65,117484.47381336034,N10
64,11608.771264572051,N10
70,117484.47381336034,N10
58,11608.771264572051,N10
17,4315.3488606142455,N10
7,899.1752348566622,N10
6,899.1752348566622,N10
16,4315.3488606142455,N10
4,405.3811748469568,N10
14,4315.3488606142455,N10
28,4315.3488606142455,N10
29,4315.3488606142455,N10
15,4315.3488606142455,N10
5,899.1752348566622,N10
39,4315.3488606142455,N10
1,170.83517629782014,N10
11,4315.3488606142455,N10
10,899.1752348566622,N10
38,4315.3488606142455,N10
12,4315.3488606142455,N10
2,170.83517629782014,N10
3,405.3811748469568,N10
13,4315.3488606142455,N10
