GENERATION,FITNESS,NODE
74,22175.51598952856,N4
60,22175.51598952856,N4
48,22175.51598952856,N4
49,22175.51598952856,N4
61,22175.51598952856,N4
75,22175.51598952856,N4
88,22175.51598952856,N4
63,22175.51598952856,N4
77,22175.51598952856,N4
76,22175.51598952856,N4
62,22175.51598952856,N4
89,22175.51598952856,N4
99,91493.6755384882,N4
66,22175.51598952856,N4
72,22175.51598952856,N4
73,22175.51598952856,N4
67,22175.51598952856,N4
98,91493.6755384882,N4
59,22175.51598952856,N4
71,22175.51598952856,N4
65,22175.51598952856,N4
64,22175.51598952856,N4
70,22175.51598952856,N4
58,22175.51598952856,N4
17,1183.2538371126896,N4
2,134.5634121466451,N4
3,134.5634121466451,N4
16,1183.2538371126896,N4
14,1183.2538371126896,N4
28,1183.2538371126896,N4
1,134.5634121466451,N4
29,1183.2538371126896,N4
15,1183.2538371126896,N4
39,22175.51598952856,N4
11,1183.2538371126896,N4
4,348.5790526184789,N4
5,371.4133934052063,N4
10,1183.2538371126896,N4
38,22175.51598952856,N4
100,91493.6755384882,N4
12,1183.2538371126896,N4
7,1183.2538371126896,N4
6,371.4133934052063,N4
13,1183.2538371126896,N4
36,22175.51598952856,N4
22,1183.2538371126896,N4
23,1183.2538371126896,N4
37,22175.51598952856,N4
21,1183.2538371126896,N4
35,22175.51598952856,N4
8,1183.2538371126896,N4
9,1183.2538371126896,N4
34,22175.51598952856,N4
20,1183.2538371126896,N4
18,1183.2538371126896,N4
24,1183.2538371126896,N4
30,1183.2538371126896,N4
31,1183.2538371126896,N4
25,1183.2538371126896,N4
19,1183.2538371126896,N4
33,1183.2538371126896,N4
27,1183.2538371126896,N4
26,1183.2538371126896,N4
32,1183.2538371126896,N4
96,91493.6755384882,N4
82,22175.51598952856,N4
55,22175.51598952856,N4
41,22175.51598952856,N4
69,22175.51598952856,N4
68,22175.51598952856,N4
40,22175.51598952856,N4
54,22175.51598952856,N4
83,22175.51598952856,N4
97,91493.6755384882,N4
81,22175.51598952856,N4
95,91493.6755384882,N4
42,22175.51598952856,N4
56,22175.51598952856,N4
57,22175.51598952856,N4
43,22175.51598952856,N4
94,91493.6755384882,N4
80,22175.51598952856,N4
84,22175.51598952856,N4
90,22175.51598952856,N4
47,22175.51598952856,N4
53,22175.51598952856,N4
52,22175.51598952856,N4
46,22175.51598952856,N4
91,22175.51598952856,N4
85,22175.51598952856,N4
93,91493.6755384882,N4
87,22175.51598952856,N4
78,22175.51598952856,N4
50,22175.51598952856,N4
44,22175.51598952856,N4
45,22175.51598952856,N4
51,22175.51598952856,N4
79,22175.51598952856,N4
86,22175.51598952856,N4
92,22175.51598952856,N4
