GENERATION,FITNESS,NODE
34,111080.401246064,N9
20,327.4905839057755,N9
21,327.4905839057755,N9
35,111080.401246064,N9
23,418.9473758358675,N9
37,111080.401246064,N9
36,111080.401246064,N9
22,418.9473758358675,N9
26,111080.401246064,N9
32,111080.401246064,N9
33,111080.401246064,N9
27,111080.401246064,N9
9,327.4905839057755,N9
19,327.4905839057755,N9
31,111080.401246064,N9
25,111080.401246064,N9
24,418.9473758358675,N9
30,111080.401246064,N9
18,327.4905839057755,N9
8,327.4905839057755,N9
94,111080.401246064,N9
80,111080.401246064,N9
57,111080.401246064,N9
43,111080.401246064,N9
42,111080.401246064,N9
56,111080.401246064,N9
81,111080.401246064,N9
95,111080.401246064,N9
83,111080.401246064,N9
97,139912.08688280638,N9
40,111080.401246064,N9
54,111080.401246064,N9
68,111080.401246064,N9
69,111080.401246064,N9
55,111080.401246064,N9
41,111080.401246064,N9
96,111080.401246064,N9
82,111080.401246064,N9
86,111080.401246064,N9
92,111080.401246064,N9
79,111080.401246064,N9
45,111080.401246064,N9
51,111080.401246064,N9
50,111080.401246064,N9
44,111080.401246064,N9
78,111080.401246064,N9
93,111080.401246064,N9
87,111080.401246064,N9
91,111080.401246064,N9
85,111080.401246064,N9
52,111080.401246064,N9
46,111080.401246064,N9
47,111080.401246064,N9
53,111080.401246064,N9
84,111080.401246064,N9
90,111080.401246064,N9
89,111080.401246064,N9
76,111080.401246064,N9
62,111080.401246064,N9
63,111080.401246064,N9
77,111080.401246064,N9
88,111080.401246064,N9
61,111080.401246064,N9
75,111080.401246064,N9
49,111080.401246064,N9
48,111080.401246064,N9
74,111080.401246064,N9
60,111080.401246064,N9
58,111080.401246064,N9
64,111080.401246064,N9
70,111080.401246064,N9
71,111080.401246064,N9
65,111080.401246064,N9
59,111080.401246064,N9
100,139912.08688280638,N9
98,139912.08688280638,N9
73,111080.401246064,N9
67,111080.401246064,N9
66,111080.401246064,N9
72,111080.401246064,N9
99,139912.08688280638,N9
5,327.4905839057755,N9
15,327.4905839057755,N9
29,111080.401246064,N9
28,111080.401246064,N9
14,327.4905839057755,N9
4,145.49028871990257,N9
6,327.4905839057755,N9
16,327.4905839057755,N9
17,327.4905839057755,N9
7,327.4905839057755,N9
3,127.12262682511594,N9
13,327.4905839057755,N9
12,327.4905839057755,N9
2,116.38582394111162,N9
38,111080.401246064,N9
10,327.4905839057755,N9
11,327.4905839057755,N9
39,111080.401246064,N9
1,46.774939337004575,N9
