GENERATION,FITNESS,NODE
87,481888.82212871127,N1
93,481888.82212871127,N1
78,481888.82212871127,N1
44,79603.9496102319,N1
50,79603.9496102319,N1
5,4054.861198745447,N1
4,4054.861198745447,N1
51,79603.9496102319,N1
45,79603.9496102319,N1
79,481888.82212871127,N1
92,481888.82212871127,N1
86,481888.82212871127,N1
90,481888.82212871127,N1
84,481888.82212871127,N1
53,79603.9496102319,N1
47,79603.9496102319,N1
6,4054.861198745447,N1
7,4054.861198745447,N1
46,79603.9496102319,N1
52,79603.9496102319,N1
85,481888.82212871127,N1
91,481888.82212871127,N1
95,481888.82212871127,N1
81,481888.82212871127,N1
56,79603.9496102319,N1
42,79603.9496102319,N1
3,4054.861198745447,N1
2,4054.861198745447,N1
43,79603.9496102319,N1
57,79603.9496102319,N1
80,481888.82212871127,N1
94,481888.82212871127,N1
82,481888.82212871127,N1
96,481888.82212871127,N1
41,79603.9496102319,N1
55,79603.9496102319,N1
69,79603.9496102319,N1
1,940.603339959454,N1
68,79603.9496102319,N1
54,79603.9496102319,N1
40,79603.9496102319,N1
97,481888.82212871127,N1
83,481888.82212871127,N1
27,35549.14023165436,N1
33,35549.14023165436,N1
32,35549.14023165436,N1
26,35549.14023165436,N1
18,15382.194393659354,N1
30,35549.14023165436,N1
24,35549.14023165436,N1
25,35549.14023165436,N1
31,35549.14023165436,N1
19,15382.194393659354,N1
35,35549.14023165436,N1
21,35549.14023165436,N1
20,15382.194393659354,N1
34,35549.14023165436,N1
22,35549.14023165436,N1
36,79603.9496102319,N1
37,79603.9496102319,N1
23,35549.14023165436,N1
12,10253.427504076768,N1
13,10253.427504076768,N1
100,481888.82212871127,N1
39,79603.9496102319,N1
11,4054.861198745447,N1
10,4054.861198745447,N1
38,79603.9496102319,N1
14,10253.427504076768,N1
28,35549.14023165436,N1
29,35549.14023165436,N1
15,10253.427504076768,N1
17,15382.194393659354,N1
16,15382.194393659354,N1
59,79603.9496102319,N1
65,79603.9496102319,N1
71,79603.9496102319,N1
70,79603.9496102319,N1
64,79603.9496102319,N1
58,79603.9496102319,N1
99,481888.82212871127,N1
72,79603.9496102319,N1
66,79603.9496102319,N1
67,79603.9496102319,N1
73,79603.9496102319,N1
98,481888.82212871127,N1
88,481888.82212871127,N1
77,481888.82212871127,N1
63,79603.9496102319,N1
62,79603.9496102319,N1
76,481888.82212871127,N1
89,481888.82212871127,N1
60,79603.9496102319,N1
74,79603.9496102319,N1
48,79603.9496102319,N1
9,4054.861198745447,N1
8,4054.861198745447,N1
49,79603.9496102319,N1
75,481888.82212871127,N1
61,79603.9496102319,N1
