GENERATION,FITNESS,NODE
89,10039.72572661936,N11
62,10039.72572661936,N11
76,10039.72572661936,N11
77,10039.72572661936,N11
63,10039.72572661936,N11
88,10039.72572661936,N11
49,10039.72572661936,N11
75,10039.72572661936,N11
61,10039.72572661936,N11
60,10039.72572661936,N11
74,10039.72572661936,N11
48,10039.72572661936,N11
70,10039.72572661936,N11
64,10039.72572661936,N11
58,10039.72572661936,N11
59,10039.72572661936,N11
65,10039.72572661936,N11
71,10039.72572661936,N11
98,10039.72572661936,N11
67,10039.72572661936,N11
73,10039.72572661936,N11
72,10039.72572661936,N11
66,10039.72572661936,N11
99,10039.72572661936,N11
29,10039.72572661936,N11
15,10039.72572661936,N11
14,10039.72572661936,N11
28,10039.72572661936,N11
16,10039.72572661936,N11
17,10039.72572661936,N11
13,10039.72572661936,N11
12,10039.72572661936,N11
10,10039.72572661936,N11
38,10039.72572661936,N11
8,10039.72572661936,N11
9,10039.72572661936,N11
39,10039.72572661936,N11
11,10039.72572661936,N11
20,10039.72572661936,N11
34,10039.72572661936,N11
4,437.1776659435329,N11
5,10039.72572661936,N11
35,10039.72572661936,N11
21,10039.72572661936,N11
37,10039.72572661936,N11
23,10039.72572661936,N11
7,10039.72572661936,N11
6,10039.72572661936,N11
100,10039.72572661936,N11
22,10039.72572661936,N11
36,10039.72572661936,N11
32,10039.72572661936,N11
26,10039.72572661936,N11
2,109.49266026072296,N11
3,437.1776659435329,N11
27,10039.72572661936,N11
33,10039.72572661936,N11
25,10039.72572661936,N11
31,10039.72572661936,N11
19,10039.72572661936,N11
1,109.49266026072296,N11
18,10039.72572661936,N11
30,10039.72572661936,N11
24,10039.72572661936,N11
80,10039.72572661936,N11
94,10039.72572661936,N11
43,10039.72572661936,N11
57,10039.72572661936,N11
56,10039.72572661936,N11
42,10039.72572661936,N11
95,10039.72572661936,N11
81,10039.72572661936,N11
97,10039.72572661936,N11
83,10039.72572661936,N11
68,10039.72572661936,N11
54,10039.72572661936,N11
40,10039.72572661936,N11
41,10039.72572661936,N11
55,10039.72572661936,N11
69,10039.72572661936,N11
82,10039.72572661936,N11
96,10039.72572661936,N11
92,10039.72572661936,N11
86,10039.72572661936,N11
51,10039.72572661936,N11
45,10039.72572661936,N11
79,10039.72572661936,N11
78,10039.72572661936,N11
44,10039.72572661936,N11
50,10039.72572661936,N11
87,10039.72572661936,N11
93,10039.72572661936,N11
85,10039.72572661936,N11
91,10039.72572661936,N11
46,10039.72572661936,N11
52,10039.72572661936,N11
53,10039.72572661936,N11
47,10039.72572661936,N11
90,10039.72572661936,N11
84,10039.72572661936,N11
